ticker,name,group,date,price,rsi,sma200,gap,cagr5,cagr10,spread,industry,moat_why,moat_score,curr_dd,max_dd,dd_ratio,dd_ratio_adj,dd_neutral,years_used,invest_score
AAPL,Apple Inc.,主倉,2026-09-25,338.6550,63.7983,287.3758,17.8439,18.7601,29.3707,-10.6106,消費電子,全球消費電子品牌與生態系鎖定，硬體加服務形成高轉換成本 | App Store與服務訂閱帶來經常性現金流與定價能力 | 垂直整合晶片與軟體，產品體驗差異難以被低價仿效,93,0.3331,38.5159,0.0086,0.0086,False,9.9959,49.2000
CDNS,"Cadence Design Systems, Inc.",主倉,2026-09-25,325.5200,61.0136,325.5262,-0.0019,14.7522,29.3879,-14.6357,EDA軟體,晶片設計EDA雙寡頭之一，客戶認證與流程深度綁定 | 授權與維護合約高黏著，換供應商重訓與重驗成本極高 | 先進製程與系統級設計複雜度上升，強化工具不可替代性,90,21.8233,34.2059,0.6380,0.6380,False,9.9959,66.9000
CAT,Caterpillar Inc.,主倉,2026-09-25,812.9500,49.5282,787.6694,3.2095,35.0874,28.5292,6.5583,工程機械,全球經銷與售後零件網絡形成服務與備件規模優勢 | 品牌與殘值在重型設備採購決策中具長期信任溢價 | 週期產業本質使護城河偏執行與網絡，價格與需求波動較大,72,23.5179,43.3589,0.5424,0.5424,False,9.9959,57.3000
APH,Amphenol Corporation,主倉,2026-09-25,83.9550,58.1149,73.4664,14.2767,35.2723,27.6781,7.5942,電子連接器,高可靠性互連件廣布汽車、航太與通訊終端，規格門檻高 | 併購整合與客製化設計加深與OEM的長期供應關係 | 產品單價低但關鍵度高，客戶較少為省小錢承擔停線風險,78,4.6220,37.5578,0.1231,0.1231,False,9.9959,47.1000
DE,Deere & Company,主倉,2026-09-25,683.5400,55.5462,581.0437,17.6400,15.8800,25.3496,-9.4696,農機,精準農業軟硬體與經銷網絡強化農戶設備生態黏著 | 品牌與融資服務降低大型農機採購摩擦並支持殘值 | 農產品價格與資本支出週期使盈利波動大於純軟體護城河,74,3.6562,37.9129,0.0964,0.0964,False,9.9959,34.5000
MSFT,Microsoft Corporation,主倉,2026-09-25,514.9800,62.8425,430.6038,19.5948,12.3755,26.1449,-13.7693,軟體雲端,企業作業系統、辦公與Azure雲形成多產品棧鎖定 | 大型企業授權與混合雲遷移帶來極高轉換成本 | OpenAI生態與企業AI工作負載進一步加深平台依賴,96,4.2159,37.1485,0.1135,0.1135,False,9.9959,47.3000
PH,Parker-Hannifin Corporation,主倉,2026-09-25,970.8100,51.4932,939.6610,3.3149,29.1299,24.9762,4.1538,工業自動化,運動與流體控制產品組合廣，跨產業OEM長期規格嵌入 | 經銷與工程支援網絡支撐售後零件與系統升級黏著 | 資本支出週期敏感，護城河更多來自產品廣度而非獨占,73,9.4150,54.6823,0.1722,0.1722,False,9.9959,47.1000
HEI,HEICO Corporation,主倉,2026-09-25,306.8650,37.5479,322.2653,-4.7788,18.0139,24.3189,-6.3050,航空零件,FAA認證航空售後零件進入壁壘高，替代驗證昂貴耗時 | 機隊長期飛行週期帶來穩定維修與零件更換需求 | 併購小型認證供應商擴大目錄，強化售後定價與份額,85,18.0973,57.7250,0.3135,0.3135,False,9.9959,59.6000
ETN,Eaton Corporation plc,主倉,2026-09-25,439.9900,59.1925,385.2208,14.2176,24.9553,24.0495,0.9058,電力設備,電氣化與數據中心帶動配電與電源管理需求結構成長 | 工業與公用事業規格認證形成長期專案供應關係 | 產品偏資本設備，護城河強於週期股但仍受專案節奏影響,76,4.3417,44.5535,0.0974,0.0974,False,9.9959,39.4000
PGR,The Progressive Corporation,主倉,2026-09-25,204.3700,36.0571,208.4795,-1.9712,20.0549,24.0773,-4.0224,保險,車險定價與理賠數據優勢支撐核保邊際與成長 | 直接通路與品牌認知降低獲客成本並提高續保黏著 | 監管與精算門檻限制新進者快速擴張全國規模,84,25.2077,30.3512,0.8305,0.8305,False,9.9959,67.1000
GOOGL,Alphabet Inc.,主倉,2026-09-25,344.6700,50.3229,337.8213,2.0273,19.5865,24.1197,-4.5331,網路廣告,搜尋與YouTube廣告網絡效應極強，流量與廣告主雙邊強化 | Android與雲端服務延伸生態，數據與分發形成複合壁壘 | 監管與AI搜尋變局帶來風險，但現金流與規模仍難撼動,94,14.2870,44.3201,0.3224,0.3224,False,9.9959,64.3000
ODFL,"Old Dominion Freight Line, Inc.",主倉,2026-09-25,175.0700,30.7124,198.7854,-11.9302,3.4660,23.3802,-19.9142,貨運物流,高服務水準零擔網絡與端到端控管形成定價溢價 | 自有車隊與樞紐密度帶來成本與準點率規模優勢 | 貨運週期與油價勞動成本使護城河偏營運卓越而非獨占,70,29.5051,45.1784,0.6531,0.6531,False,9.9959,49.4000
CTAS,Cintas Corporation,主倉,2026-09-25,198.9300,49.6022,187.0589,6.3462,15.7305,22.8712,-7.1407,企業服務,制服與設施服務合約嵌入日常營運，切換供應商摩擦大 | 全國路線密度與清洗產能形成成本與服務覆蓋壁壘 | 中小企業客戶分散，續約穩定且競爭多為區域型,82,11.5613,48.3797,0.2390,0.2390,False,9.9959,45.5000
MSCI,MSCI Inc.,主倉,2026-09-25,549.7000,44.8324,569.5739,-3.4893,-2.5206,21.8040,-24.3246,金融數據,指數授權成ETF與基準核心，資產管理人轉換成本極高 | ESG與因子數據產品疊加，研究與風控流程深度綁定 | 寡占基準地位具監管與品牌信任，定價能力持久,92,14.3150,43.7449,0.3272,0.3272,False,9.9959,49.6000
COST,Costco Wholesale Corporation,主倉,2026-09-25,919.7900,51.0660,958.3104,-4.0196,15.7117,21.8367,-6.1250,零售倉儲,會員費模式提供穩定利潤與高續約，強化價格誠信品牌 | 規模採購與精簡SKU帶來難以匹敵的性價比護城河 | 倉庫網絡與供應鏈效率形成實體零售少見的複利優勢,95,15.8151,31.4024,0.5036,0.5036,False,9.9959,66.1000
SNPS,"Synopsys, Inc.",主倉,2026-09-25,429.5500,61.0957,445.3108,-3.5393,5.9345,21.9324,-15.9979,EDA軟體,與Cadence並列EDA雙寡頭，設計流程工具鏈高度鎖定 | IP授權與驗證工具加深晶片客戶年度支出黏著 | 先進節點複雜度提升使工具切換風險與成本持續上升,90,33.4392,43.0232,0.7772,0.7772,False,9.9959,61.2000
FICO,Fair Isaac Corporation,主倉,2026-09-25,862.7700,29.5596,1246.6961,-30.7955,15.5171,21.0422,-5.5252,金融科技,美國信用評分事實上標準，貸款機構決策流程深度嵌入 | 監管與業界慣例強化分數不可替代性與定價權 | 評分方法與數據關係形成網絡與轉換壁壘，波動來自估值,91,63.7857,64.0497,0.9959,0.9959,False,9.9959,73.5000
GWW,"W.W. Grainger, Inc.",主倉,2026-09-25,1247.6500,37.6311,1196.7460,4.2535,26.4488,20.9250,5.5239,工業分銷,龐大SKU與即時可得性對維修採購極關鍵，客戶黏著高 | 數位訂購與分支網絡結合，規模降低單位履約成本 | 對中小工業客戶具服務護城河，但產品本身可替代性較高,77,10.8374,41.5955,0.2605,0.2605,False,9.9959,44.9000
FAST,Fastenal Company,主倉,2026-09-25,50.6090,57.6742,45.6718,10.8101,16.1039,20.6552,-4.5513,工業分銷,現場存貨櫃與緊固件解決方案嵌入工廠產線日常運營 | 分支密度與本地服務降低客戶庫存與停機風險 | 護城河偏關係與執行，單品競爭仍在，規模優勢漸進累積,75,3.3811,30.7060,0.1101,0.1101,False,9.9959,33.9000
AMZN,"Amazon.com, Inc.",主倉,2026-09-25,249.2100,44.0366,240.8456,3.4730,7.7855,20.0961,-12.3106,電商雲端,電商物流網絡與Prime會員形成消費端規模與轉換成本 | AWS雲端市佔與企業工作負載鎖定帶來高利潤經常性收入 | 廣告與第三方賣家生態雙邊網絡強化平台地位,92,12.2562,56.1453,0.2183,0.2183,False,9.9959,44.7000
TDG,TransDigm Group Incorporated,主倉,2026-09-25,1107.9000,38.3796,1252.6358,-11.5545,15.6393,19.8481,-4.2088,航空零件,獨家或高市佔航太售後件具強定價權與長機隊週期 | 認證與適航壁壘使競爭者難以快速替代關鍵零件 | 高槓桿資本結構放大報酬也放大風險，護城河偏產品側,83,26.9460,62.6419,0.4302,0.4302,False,9.9959,53.9000
MA,Mastercard Incorporated,主倉,2026-09-25,566.5400,47.7253,531.0489,6.6832,10.2509,19.5113,-9.2604,支付網絡,全球卡組織雙邊網絡：持卡人與商戶互相強化接受度 | 品牌、風控與清算規則形成極高進入壁壘 | 數位支付與跨境成長延續網絡效應，與Visa並列頂級護城河,97,5.5546,40.9972,0.1355,0.1355,False,9.9959,45.9000
WMT,Walmart Inc.,主倉,2026-09-25,107.4898,48.0006,118.1052,-8.9881,19.1046,18.2031,0.9015,零售,全美最大零售採購規模帶來持續進貨成本優勢 | 門店加電商履約網絡覆蓋廣，便利與價格形成複合壁壘 | 低價心智與供應商依賴穩固，但零售競爭與工資壓力仍在,86,19.7115,25.7397,0.7658,0.7658,False,9.9959,64.9000
AXP,American Express Company,主倉,2026-09-25,307.2000,34.6137,332.9447,-7.7324,13.1819,18.7204,-5.5385,支付金融,高端卡品牌與封閉網絡帶來商戶與持卡人雙邊溢價 | 消費數據與風控支撐發卡利潤與忠誠生態 | 較Visa/Mastercard更偏消費信貸週期，護城河略遜純網絡,85,19.5351,49.6385,0.3935,0.3935,False,9.9959,51.0000
AJG,Arthur J. Gallagher & Co.,主倉,2026-09-25,231.3000,37.1124,232.1881,-0.3825,9.5921,18.2908,-8.6987,保險經紀,大型商業保險經紀關係與專案複雜度形成轉換摩擦 | 併購整合地方經紀擴大分銷網絡與交叉銷售 | 資本輕、經常性佣金模式，但競爭仍屬分散服務業,79,32.6219,44.4042,0.7347,0.7347,False,9.9959,45.9000
TXN,Texas Instruments Incorporated,主倉,2026-09-25,276.1500,58.7173,244.5138,12.9384,9.6549,18.1666,-8.5117,半導體,類比與嵌入式晶片廣布工業汽車，設計導入週期長 | 自有製造與龐大產品目錄支撐供應可靠與成本控制 | 技術迭代慢於邏輯晶片，客戶黏著高但成長偏穩健,81,16.4669,33.4120,0.4928,0.4928,False,9.9959,36.7000
ISRG,"Intuitive Surgical, Inc.",主倉,2026-09-25,402.4100,64.0710,450.8840,-10.7509,2.9600,17.7507,-14.7907,醫療器材,達文西手術機器人群組訓練與醫院資本支出形成高轉換成本 | 耗材與服務經常性收入隨裝機量複利成長 | 臨床證據與監管認證壁壘高，新進者追趕週期長,88,34.0798,49.9042,0.6829,0.6829,False,9.9959,54.5000
RSG,"Republic Services, Inc.",主倉,2026-09-25,212.1094,36.2577,214.4755,-1.1032,12.5917,17.2563,-4.6646,環保服務,地方特許與路線密度使垃圾收集具準公用事業特性 | 填埋與轉運資產稀缺，擴張受許可與社區阻力保護 | 提價能力穩定，需求剛性強於大多數週期工業,87,16.6646,34.0237,0.4898,0.4898,False,9.9959,48.4000
NDAQ,"Nasdaq, Inc.",主倉,2026-09-25,92.7350,45.9076,90.0897,2.9363,8.6523,16.8206,-8.1683,金融交易所,交易所與市場數據牌照具監管壁壘與網絡流動性優勢 | 上市、交易與指數數據產品形成多元經常性收入 | 流動性聚集效應強，但競爭交易所與費用監管構成上限,80,7.2312,38.3109,0.1887,0.1887,False,9.9959,31.2000
MCO,Moody's Corporation,主倉,2026-09-25,464.9450,40.8849,470.3353,-1.1460,5.2140,16.7074,-11.4934,信用評級,全球評級雙寡頭之一，債券發行監管與投資人慣例鎖定 | 發行人付費模式與轉換成本支撐高利潤率 | 數據與分析產品延伸護城河，聲譽與監管是核心壁壘,93,13.2617,42.0172,0.3156,0.3156,False,9.9959,44.3000
LIN,Linde plc,主倉,2026-09-25,467.9850,44.5715,481.6301,-2.8331,10.0429,16.8502,-6.8074,工業氣體,現場氣體供應合約長、管線與空分裝置沉沒成本高 | 客戶切換需重建供應可靠度，轉換極少發生 | 全球密度與應用工程形成規模與安全營運壁壘,89,14.1069,32.5851,0.4329,0.4329,False,9.9959,47.3000
V,Visa Inc.,主倉,2026-09-25,366.5950,47.1621,335.8520,9.1537,10.4501,17.0122,-6.5621,支付網絡,全球最大卡支付網絡，商戶接受度與持卡人形成飛輪 | 品牌、清算規則與風控基礎設施幾乎無法重建 | 數位與跨境支付滲透延續網絡效應，質化護城河頂尖,98,4.5673,36.3649,0.1256,0.1256,False,9.9959,42.9000
IDXX,"IDEXX Laboratories, Inc.",主倉,2026-09-25,518.9400,44.2751,592.4113,-12.4021,-5.2504,16.6870,-21.9375,動物醫療,寵物診斷儀器與耗材安裝基礎帶來高轉換與經常性收入 | 獸醫診所工作流軟體加深鎖定，競品替換成本高 | 寵物醫療支出剛性上升，品牌與檢測菜單優勢穩固,86,32.3134,54.0014,0.5984,0.5984,False,9.9959,46.9000
ORLY,"O'Reilly Automotive, Inc.",主倉,2026-09-25,85.7100,46.1003,91.1658,-5.9845,15.4909,16.3913,-0.9004,汽車零售,專業零件可得性與門店密度對維修廠極關鍵 | 龐大SKU與供應鏈縮短停工時間，形成服務護城河 | DIY與DIFM雙市場覆蓋，區域規模優勢可持續,84,20.5064,42.0036,0.4882,0.4882,False,9.9959,47.6000
TMO,Thermo Fisher Scientific Inc.,主倉,2026-09-25,672.5850,70.9528,539.3014,24.7141,2.2708,16.0577,-13.7869,生命科學,儀器、試劑與服務一站式組合嵌入實驗室採購流程 | 科研與生技客戶轉換需重驗方法，黏著度高 | 規模與併購擴大菜單，惟資本設備需求有一定週期,85,0.8557,40.9543,0.0209,0.0209,False,9.9959,15.1000
CPRT,"Copart, Inc.",主倉,2026-09-25,27.7550,32.3830,33.7843,-17.8465,-5.5614,15.2687,-20.8301,拍賣物流,事故車拍賣場地網絡與保險公司關係形成雙邊規模 | 實體場地與物流密度難以短期複製，流動性吸引更多車源 | 護城河強但成長與車險出險率連動，屬準平台週期,82,56.5241,57.4405,0.9840,0.9840,False,9.9959,47.6000
